"CASE_ID"	"close_dt"	"start_dt"	"duration"
"556"	57816	2017-04-01	2014-04-01	1096
"557"	57840	2017-04-01	2014-04-01	1096
"558"	57870	2017-04-01	2016-03-01	396
"559"	57887	2016-10-01	2016-07-01	92
"560"	57972	2017-04-01	2016-06-01	304
"561"	58022	2017-04-01	2014-04-01	1096
"562"	58040	2016-11-01	2014-06-01	884
"563"	58080	2017-04-01	2014-06-01	1035
"564"	58092	2017-04-01	2014-07-01	1005
"565"	58181	2017-04-01	2014-07-01	1005
"566"	58232	2017-04-01	2016-08-01	243
"567"	58245	2016-08-01	2014-07-01	762
"568"	58280	2017-04-01	2015-11-01	517
"569"	58291	2017-04-01	2014-07-01	1005
"570"	58302	2016-10-01	2014-08-01	792
"571"	58339	2017-04-01	2015-02-01	790
"572"	58347	2017-04-01	2016-11-01	151
"573"	58379	2017-04-01	2016-05-01	335
"574"	58381	2016-10-01	2016-03-01	214
"575"	58383	2016-10-01	2014-08-01	792
"576"	58406	2017-04-01	2014-08-01	974
"577"	58427	2016-10-01	2014-09-01	761
"578"	58428	2017-04-01	2016-07-01	274
"579"	58431	2016-12-01	2016-10-01	61
"580"	58447	2016-11-01	2016-09-01	61
"581"	58451	2016-12-01	2014-09-01	822
"582"	58463	2016-06-01	2014-08-01	670
"583"	58492	2017-04-01	2014-09-01	943
