CASE_ID,ACHA,AIU_CHILD,AIU_PARENT,CYF_KPL,CYF_PL_O,DA,DPW_FS,DPW_GA,DPW_SSI,DPW_TANF,EI,FSC,HACP,HH,IL_CHILD,JPO,JPO_CHILD,JPO_KPL,JPO_PL_O,MH,ID,nClose,Duration,place_Y
34155,-1,-1,-1,0,1,1,-1,0,-1,-1,0,0,0,0,0,0,0,0,0,1,0,3,366,F
34193,-1,0,0,0,0,0,-1,-1,0,-1,1,0,0,-1,0,0,0,0,0,1,0,5,183,F
34279,-1,0,0,0,0,-1,-1,0,-1,-1,-1,-1,-1,1,0,0,0,0,0,-1,0,5,62,F
34312,0,0,0,0,-1,-1,1,0,1,1,0,0,-1,1,0,-1,0,0,-1,-1,0,3,215,F
34319,0,0,0,0,-1,-1,-1,0,1,-1,0,0,0,0,0,-1,0,0,-1,-1,0,2,123,F
34341,1,-1,-1,-1,1,1,-1,0,-1,-1,-1,-1,0,-1,0,0,0,0,0,-1,0,3,30,F
34622,0,0,0,0,-1,-1,1,0,1,-1,0,-1,0,-1,0,0,0,0,0,-1,0,3,276,F
34771,0,-1,-1,0,-1,1,-1,-1,0,-1,0,0,0,-1,1,0,0,0,0,-1,0,3,62,F
34779,0,-1,-1,-1,1,0,1,0,-1,-1,-1,-1,0,0,0,0,0,0,0,-1,0,3,184,F
34815,-1,0,0,0,0,1,-1,-1,0,-1,-1,0,0,0,0,0,0,0,0,1,0,2,366,F
34842,1,0,0,0,0,-1,-1,0,-1,0,0,-1,0,0,0,0,0,0,0,1,0,2,62,F
34851,-1,0,0,0,-1,-1,-1,0,-1,-1,-1,-1,1,-1,0,-1,-1,0,-1,-1,0,3,30,F
34866,-1,0,0,0,0,-1,-1,0,-1,-1,-1,1,-1,-1,0,0,0,0,0,-1,0,4,245,F
34868,0,0,0,0,0,0,-1,0,0,1,1,-1,0,0,0,-1,0,0,-1,-1,0,2,153,F
