"CASE_ID","Placement","Housing","BasicNeeds","FSC","PlacementAsY","CloseTimes","Duration","duration2"
35460,FALSE,FALSE,TRUE,FALSE,FALSE,3,306,NA
35475,TRUE,TRUE,TRUE,TRUE,FALSE,3,92,NA
35485,FALSE,TRUE,TRUE,FALSE,FALSE,3,0,0
35486,TRUE,TRUE,TRUE,FALSE,TRUE,3,306,NA
35495,FALSE,TRUE,TRUE,TRUE,FALSE,4,0,0
36008,FALSE,TRUE,TRUE,FALSE,TRUE,3,31,31
36714,FALSE,FALSE,TRUE,FALSE,FALSE,2,62,NA
37967,TRUE,TRUE,TRUE,TRUE,TRUE,4,397,NA
38507,FALSE,FALSE,TRUE,FALSE,FALSE,2,397,NA
39033,TRUE,TRUE,FALSE,FALSE,FALSE,2,153,NA
39138,TRUE,TRUE,TRUE,FALSE,FALSE,2,184,NA
39146,TRUE,FALSE,TRUE,FALSE,FALSE,2,184,NA
39179,FALSE,FALSE,TRUE,FALSE,FALSE,3,245,NA
39962,TRUE,TRUE,TRUE,TRUE,FALSE,2,184,NA
40541,FALSE,FALSE,FALSE,FALSE,TRUE,2,215,NA
40747,FALSE,TRUE,TRUE,TRUE,FALSE,1,397,NA
41622,FALSE,TRUE,TRUE,TRUE,TRUE,2,62,NA
41785,FALSE,TRUE,TRUE,FALSE,FALSE,3,92,92
42009,FALSE,TRUE,TRUE,TRUE,FALSE,1,397,NA
42049,TRUE,TRUE,TRUE,FALSE,FALSE,2,0,0
42175,FALSE,FALSE,TRUE,TRUE,TRUE,2,184,NA
43069,FALSE,TRUE,TRUE,TRUE,FALSE,3,123,NA
43283,FALSE,FALSE,FALSE,FALSE,FALSE,2,276,NA
47057,FALSE,FALSE,TRUE,FALSE,FALSE,2,62,NA
47089,FALSE,TRUE,TRUE,FALSE,FALSE,2,153,NA
47106,FALSE,FALSE,TRUE,FALSE,FALSE,2,61,61
47149,FALSE,TRUE,FALSE,FALSE,TRUE,3,397,NA
47157,FALSE,FALSE,TRUE,TRUE,TRUE,4,306,NA
47220,TRUE,FALSE,TRUE,FALSE,FALSE,3,276,NA
47253,FALSE,FALSE,TRUE,FALSE,FALSE,2,123,NA
47271,TRUE,FALSE,FALSE,FALSE,FALSE,3,31,31
47289,FALSE,FALSE,TRUE,FALSE,FALSE,3,92,NA
47530,FALSE,TRUE,FALSE,TRUE,TRUE,2,153,NA
47536,FALSE,FALSE,TRUE,FALSE,TRUE,2,92,NA
47572,FALSE,TRUE,TRUE,FALSE,FALSE,3,92,NA
47573,FALSE,FALSE,TRUE,TRUE,FALSE,4,0,0
47590,TRUE,TRUE,TRUE,FALSE,TRUE,2,92,NA
47592,FALSE,TRUE,TRUE,TRUE,FALSE,3,123,NA
47653,FALSE,TRUE,TRUE,FALSE,FALSE,3,397,NA
47655,TRUE,FALSE,TRUE,TRUE,TRUE,3,30,30
47678,FALSE,TRUE,TRUE,TRUE,TRUE,3,337,NA
47740,FALSE,FALSE,TRUE,FALSE,TRUE,2,184,184
47767,TRUE,TRUE,TRUE,TRUE,TRUE,2,92,92
47775,TRUE,FALSE,TRUE,FALSE,TRUE,3,153,153
47804,TRUE,TRUE,TRUE,FALSE,FALSE,2,123,NA
47829,FALSE,FALSE,TRUE,FALSE,FALSE,2,31,31
48227,TRUE,TRUE,TRUE,TRUE,TRUE,5,184,NA
48241,FALSE,TRUE,TRUE,TRUE,FALSE,2,92,NA
48256,FALSE,FALSE,FALSE,FALSE,FALSE,2,0,0
48289,TRUE,TRUE,TRUE,TRUE,TRUE,2,153,NA
48296,FALSE,TRUE,TRUE,FALSE,TRUE,2,276,NA
48337,TRUE,FALSE,TRUE,FALSE,FALSE,2,153,NA
48361,TRUE,TRUE,TRUE,FALSE,FALSE,3,122,122
48366,FALSE,FALSE,TRUE,FALSE,FALSE,2,31,31
48398,FALSE,FALSE,TRUE,FALSE,FALSE,2,337,NA
48433,FALSE,TRUE,TRUE,TRUE,FALSE,3,123,NA
48475,FALSE,FALSE,TRUE,FALSE,TRUE,3,153,NA
48488,FALSE,TRUE,TRUE,TRUE,FALSE,2,337,NA
48526,FALSE,TRUE,TRUE,TRUE,FALSE,3,245,NA
48532,FALSE,TRUE,TRUE,FALSE,TRUE,3,153,NA
48539,FALSE,FALSE,TRUE,FALSE,FALSE,2,337,NA
48555,TRUE,FALSE,TRUE,FALSE,FALSE,3,92,92
48565,FALSE,TRUE,TRUE,FALSE,FALSE,2,61,61
48613,FALSE,FALSE,TRUE,TRUE,FALSE,2,31,31
48665,FALSE,TRUE,TRUE,FALSE,FALSE,2,62,NA
48717,FALSE,FALSE,TRUE,FALSE,FALSE,4,215,NA
48721,FALSE,TRUE,TRUE,TRUE,FALSE,4,90,90
48753,FALSE,TRUE,TRUE,TRUE,FALSE,2,183,183
48756,FALSE,TRUE,TRUE,TRUE,TRUE,3,397,NA
48776,FALSE,FALSE,TRUE,FALSE,FALSE,2,29,29
48782,FALSE,FALSE,TRUE,FALSE,FALSE,2,61,61
48805,FALSE,TRUE,TRUE,TRUE,FALSE,3,276,NA
48810,FALSE,FALSE,FALSE,FALSE,FALSE,3,123,NA
48817,FALSE,TRUE,TRUE,FALSE,FALSE,2,153,153
48820,FALSE,FALSE,TRUE,TRUE,FALSE,2,122,122
48828,TRUE,TRUE,TRUE,TRUE,FALSE,3,184,NA
48851,TRUE,FALSE,TRUE,FALSE,FALSE,4,62,NA
48879,FALSE,FALSE,TRUE,FALSE,FALSE,2,275,275
48947,TRUE,TRUE,TRUE,FALSE,FALSE,2,184,184
49016,FALSE,FALSE,TRUE,FALSE,FALSE,2,92,NA
49055,FALSE,FALSE,TRUE,FALSE,FALSE,3,152,152
49081,FALSE,FALSE,TRUE,TRUE,FALSE,2,184,184
49086,FALSE,FALSE,TRUE,FALSE,TRUE,2,397,NA
49188,FALSE,TRUE,TRUE,TRUE,TRUE,3,92,92
49410,TRUE,TRUE,TRUE,FALSE,TRUE,2,397,NA
49447,TRUE,TRUE,TRUE,TRUE,FALSE,4,122,122
49456,FALSE,FALSE,TRUE,TRUE,FALSE,2,123,NA
49551,FALSE,FALSE,TRUE,FALSE,FALSE,2,62,NA
49562,FALSE,FALSE,TRUE,FALSE,FALSE,2,62,NA
49568,FALSE,TRUE,TRUE,TRUE,TRUE,4,123,NA
49584,TRUE,TRUE,TRUE,FALSE,FALSE,3,31,31
49634,FALSE,FALSE,TRUE,FALSE,FALSE,2,62,NA
49662,FALSE,FALSE,TRUE,FALSE,FALSE,3,60,60
49678,TRUE,TRUE,TRUE,FALSE,FALSE,2,153,NA
49680,FALSE,FALSE,TRUE,TRUE,FALSE,2,306,NA
49689,FALSE,TRUE,TRUE,FALSE,FALSE,2,30,30
49740,TRUE,FALSE,TRUE,FALSE,FALSE,2,122,122
49870,FALSE,FALSE,TRUE,FALSE,FALSE,4,121,121
49946,TRUE,TRUE,TRUE,TRUE,TRUE,2,31,31
50096,FALSE,FALSE,TRUE,TRUE,FALSE,2,31,31
50199,TRUE,TRUE,TRUE,FALSE,FALSE,3,62,NA
50263,FALSE,TRUE,TRUE,TRUE,FALSE,2,275,275
50545,FALSE,FALSE,TRUE,FALSE,FALSE,3,275,275
50644,TRUE,TRUE,TRUE,TRUE,TRUE,2,123,NA
50647,TRUE,FALSE,TRUE,FALSE,FALSE,3,153,153
50662,FALSE,FALSE,TRUE,FALSE,FALSE,3,276,NA
50805,FALSE,TRUE,TRUE,TRUE,FALSE,2,123,NA
50813,FALSE,TRUE,TRUE,TRUE,FALSE,5,183,183
50815,TRUE,TRUE,TRUE,FALSE,TRUE,3,337,NA
50867,FALSE,TRUE,TRUE,FALSE,TRUE,3,153,NA
50874,TRUE,TRUE,TRUE,FALSE,TRUE,2,215,NA
50942,FALSE,FALSE,FALSE,FALSE,FALSE,2,184,184
50985,TRUE,TRUE,TRUE,TRUE,FALSE,2,61,61
51053,TRUE,TRUE,TRUE,FALSE,TRUE,2,337,NA
51085,TRUE,TRUE,TRUE,TRUE,FALSE,3,123,NA
51098,TRUE,TRUE,TRUE,TRUE,TRUE,2,274,274
51129,TRUE,TRUE,TRUE,TRUE,TRUE,4,31,31
