"","CASE_ID","close_dt","start_dt","duration","X","nClients","nMH","nClose","ratio","CASE_ID.1","MHt"
"806",60921,2016-02-01,2016-02-01,0,806,5,3,1,0.6,60921,-1
"807",60923,2016-04-01,2016-03-01,31,807,6,1,1,0.17,60923,-1
"808",60925,2016-07-01,2016-03-01,122,808,7,2,1,0.29,60925,-1
"809",60928,2016-07-01,2016-03-01,122,809,4,0,1,0,60928,NA
"810",60929,2017-02-01,2016-03-01,337,810,3,0,1,0,60929,-1
"811",60930,2017-04-01,2016-01-01,456,811,3,1,1,0.33,60930,0
"812",60932,2017-04-01,2016-03-01,396,812,4,2,1,0.5,60932,-1
"813",60937,2016-11-01,2016-02-01,274,813,4,3,1,0.75,60937,0
"814",60938,2016-03-01,2016-03-01,0,814,7,0,1,0,60938,NA
"815",60943,2017-04-01,2016-03-01,396,815,4,1,1,0.25,60943,-1
"816",60945,2016-05-01,2016-03-01,61,816,4,1,1,0.25,60945,0
"817",60946,2017-04-01,2016-03-01,396,817,7,1,1,0.14,60946,0
"818",60948,2017-04-01,2016-03-01,396,818,5,3,1,0.6,60948,-1
"819",60949,2017-04-01,2016-03-01,396,819,4,2,1,0.5,60949,0
"820",60950,2016-12-01,2016-03-01,275,820,7,3,2,0.43,60950,-1
"821",60951,2016-05-01,2016-03-01,61,821,3,1,1,0.33,60951,0
"822",60953,2017-04-01,2016-03-01,396,822,6,4,1,0.67,60953,0
"823",60961,2016-04-01,2016-03-01,31,823,2,1,1,0.5,60961,0
"824",60962,2016-07-01,2016-03-01,122,824,5,2,1,0.4,60962,-1
"825",60964,2016-06-01,2016-03-01,92,825,5,1,1,0.2,60964,0
"826",60966,2016-06-01,2016-03-01,92,826,3,2,1,0.67,60966,0
"827",60967,2016-05-01,2016-03-01,61,827,4,2,1,0.5,60967,-1
"828",60968,2016-07-01,2016-03-01,122,828,4,0,1,0,60968,NA
"829",60969,2017-04-01,2016-03-01,396,829,5,1,1,0.2,60969,0
"830",60970,2016-05-01,2016-03-01,61,830,6,2,1,0.33,60970,-1
"831",60971,2016-06-01,2016-03-01,92,831,5,0,1,0,60971,NA
"832",60972,2016-03-01,2016-03-01,0,832,6,2,1,0.33,60972,0
"833",60975,2016-05-01,2016-03-01,61,833,6,5,1,0.83,60975,-1
"834",60978,2017-04-01,2016-03-01,396,834,9,3,3,0.33,60978,-1
"835",60979,2017-04-01,2016-03-01,396,835,6,0,1,0,60979,NA
"836",60980,2016-05-01,2016-03-01,61,836,4,0,1,0,60980,NA
"837",60983,2016-07-01,2016-03-01,122,837,5,1,1,0.2,60983,1
"838",60984,2016-08-01,2016-03-01,153,838,4,2,1,0.5,60984,0
"839",60986,2016-08-01,2016-03-01,153,839,6,5,1,0.83,60986,0
"840",60988,2016-11-01,2016-03-01,245,840,3,1,1,0.33,60988,-1
"841",60989,2016-04-01,2016-03-01,31,841,6,5,1,0.83,60989,0
"842",60990,2017-04-01,2016-03-01,396,842,6,1,1,0.17,60990,0
"843",60991,2016-11-01,2016-03-01,245,843,3,2,1,0.67,60991,0
"844",60994,2017-04-01,2016-03-01,396,844,8,1,1,0.12,60994,-1
"845",60995,2016-10-01,2016-03-01,214,845,4,2,1,0.5,60995,-1
"846",60996,2016-04-01,2016-03-01,31,846,4,1,1,0.25,60996,0
"847",60998,2016-03-01,2016-03-01,0,847,2,0,1,0,60998,0
"848",61000,2017-04-01,2016-03-01,396,848,3,0,1,0,61000,-1
"849",61002,2017-04-01,2016-07-01,274,849,4,1,1,0.25,61002,0
"850",61003,2017-04-01,2016-03-01,396,850,5,3,1,0.6,61003,0
"851",61005,2016-04-01,2016-03-01,31,851,4,1,1,0.25,61005,1
"852",61006,2017-04-01,2016-03-01,396,852,4,0,1,0,61006,NA
"853",61010,2016-08-01,2016-03-01,153,853,2,0,1,0,61010,NA
